Section Title,Question Text,Answer Type,Options,Is Scored,Weight,Prefill Source
Availability of RI Services,[13] Are routine EPI services being provided at this site?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[14] Provide a reason why a Routine EPI/Immunization is not being done at the site?  * Ask only if: “Are routine EPI services being provided at this site?” includes “No”,text,,FALSE,1,
Availability of RI Services,"[15] Total number of all staff in the health facility Guidance: Please indicate the total number of all staff in the health facility (Medical, non-medical,administrative, management staff etc)",number,,FALSE,1,
Availability of RI Services,[16] Is there trained HF staff conducting RI?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[17] How many HF staff conducting RI are trained?  * Ask only if: “Is there trained HF staff conducting RI?” includes “Yes” Guidance: Enter zero or a positive number.,number,,FALSE,1,
Availability of RI Services,[18] Has HF staff received EPI training in last 2 years?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[19] Is there a copy of the National EPI field manual?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[20] Is there an updated HF RI micro-plan?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[21] Is the EPI target population known?  *,yes_no,Yes | No,TRUE,1,
Availability of RI Services,[22] What is the annual headcount estimate EPI target population?  * Ask only if: “Is the EPI target population known?” includes “Yes” Guidance: Use annual headcount under one population Enter zero or a positive number.,number,,FALSE,1,annual_target_pop
Availability of RI Services,[23] Is a map of local catchment area displayed?  *,yes_no,Yes | No,TRUE,1,
RI Session Monitoring,[24] How many Fixed Site sessions planned per month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[25] How many Fixed Site sessions conducted last month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,"[26] How many children were vaccinated for Penta 1 in the last 3 months for all strategies (Fixed, mobile, outreach session)?  * Guidance: Enter zero or a positive number.",number,,FALSE,1,
RI Session Monitoring,"[27] How many children were vaccinated for Penta 3 in the last 3 months for all strategies (Fixed, mobile, outreach session)?  * Guidance: Enter zero or a positive number.",number,,FALSE,1,
RI Session Monitoring,[28] How many women vaccinated for TT (all doses) in the last Fixed Sessions?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[29] How many Mobile visits planned per month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[30] How may Mobile visits conducted during the last month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[31] How many Out-Reach visits planned per month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[32] How many Out-Reach visits conducted last month?  * Guidance: Enter zero or a positive number.,number,,FALSE,1,
RI Session Monitoring,[33] Were any immunization sessions cancelled during the previous month?  *,yes_no,Yes | No,TRUE,1,
RI Session Monitoring,"[34] If yes, why were the sessions cancelled?  * Ask only if: “Were any immunization sessions cancelled during the previous month?” includes “Yes”",select,Option 1 | Option 2 | Option 3,FALSE,1,
RI Session Monitoring,[35] Are caregivers advised on when to return?  *,yes_no,Yes | No,TRUE,1,
RI Session Monitoring,"[36] Are you assessing Advocacy, Communication and Social Mobilization/Health Promotion?  *",yes_no,Yes | No,TRUE,1,
Advocacy & Social Mobilization,[37] Does HF have a ACS plan?  *,yes_no,Yes | No,TRUE,1,
Advocacy & Social Mobilization,[38] Is there a ACS plan for hard-to-reach (HTR) population?  *,yes_no,Yes | No,TRUE,1,
Advocacy & Social Mobilization,[39] Are there active community health-related committees?  *,yes_no,Yes | No,TRUE,1,
Advocacy & Social Mobilization,[40] Please provide names of the health related committees in your community  * Ask only if: “Are there active community health-related committees?” includes “Yes”,text,,FALSE,1,
Advocacy & Social Mobilization,[41] How many meetings have been held in the past 3 months out of the total planned?  * Ask only if: “Are there active community health-related committees?” includes “Yes” Guidance: Allowed range: 0-3.,number,,FALSE,1,
Advocacy & Social Mobilization,[42] Are there active community mobilizers?  *,yes_no,Yes | No,TRUE,1,
Advocacy & Social Mobilization,[43] Does the Health Facility have IEC materials for routine immunization (observation)  *,select,Poster | Leaflet | Banner | Flipchart | Booklet | None,FALSE,1,
